mainFrameColor,0,36,83
jButton1,67,191,0
jButton2,104,154,115
jButton3,102,6,0
jButton4,92,137,0
jButton5,188,66,40
jButton6,25,79,153
jButton7,132,87,134
jButton8,141,77,148
jButton9,78,54,0
jButton10,168,100,117
jButton11,179,0,182
jButton12,137,82,54
jButton13,112,31,63
jButton14,43,42,118
jButton15,70,190,0
jButton16,14,33,37
jButton17,0,25,4
jButton18,40,31,192
jTextField1,91,179,0
jTextField1TextColor,195,80,131
jLabel1,170,154,114
jPanel1,0,47,129
jPanel2,115,8,0
jPanel3,64,39,80
jPanel4,0,96,6
jPanel5,192,114,21
currentFitness,2.1525055175973463E8
