mainFrameColor,80,227,7
jButton1,161,109,211
jButton2,149,57,176
jButton3,109,129,73
jButton4,69,157,216
jButton5,131,75,184
jButton6,78,20,134
jButton7,189,37,10
jButton8,140,16,62
jButton9,47,61,126
jButton10,173,112,6
jButton11,75,182,1
jButton12,171,188,146
jButton13,104,28,199
jButton14,85,90,50
jButton15,155,69,28
jButton16,88,53,207
jButton17,143,252,147
jButton18,150,226,69
jTextField1,93,205,61
jTextField1TextColor,218,106,72
jLabel1,32,184,147
jPanel1,119,44,184
jPanel2,108,143,135
jPanel3,189,1,240
jPanel4,188,38,138
jPanel5,2,172,109
