Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Var13, Var14, Var15, Var16, Var17, Var18, Var19, Var20, Var21, Var22, Var23, Var24, Var25, Var26, Var27, Var28, Var29, Var30, Var31, Var32, Var33, Var34, Var35, Var36, Var37, Var38, Var39, Var40, Var41, Var42, Var43, Var44, Var45, Var46, Var47, Var48, Var49, Var50, Var51, Var52, Var53, Var54, Var55, Var56, Var57, Var58, Var59, Var60, Var61, Var62, Var63, Var64, Var65, Var66, Var67, Var68, Var69, Var70, Var71, Var72, Var73, Var74, Var75, Var76, Var77, Var78, Var79, Var80, Var81, Obj1, Obj2, Constr1, Constr2
0.072523, 0.650017, 0.198682, 58.847176, 10.466374, 1.018597, 96.097032, 147.601651, 28.402741, 62.011131, 7.305744, 10.828154, 140.083882, 37.519882, 2.445583, 21.299475, 144.337852, 121.599345, 16.603883, 73.489765, 136.656438, 58.787596, 138.908870, 10.315073, 2.873525, 143.693215, 4.430867, 0.357552, 166.057179, 53.200002, 183.538111, 90.793877, 37.078060, 166.199038, 99.357444, 36.094583, 20.626658, 242.973458, 154.461062, 128.231800, 7.876699, 1.671893, 202.777407, 59.737252, 253.175778, 157.632221, 216.131900, 119.703015, 74.245293, 17.289313, 169.517536, 249.442668, 39.309081, 142.349176, 98.860746, 247.057990, 102.134957, 27.468321, 12.175806, 172.044626, 45.754288, 200.488722, 90.463590, 177.525899, 11.702217, 183.432866, 2.560438, 49.409608, 0.421102, 1.336002, 2.445772, 4.451818, 241.339504, 252.557697, 204.781900, 5.857961, 38.799082, 4.294195, 96.537819, 93.207653, 28.763113, 255229265.955031, 19.161652, 0.000000, 0.000000
0.069373, 0.360112, 0.373554, 58.209539, 10.466368, 0.980371, 96.421303, 147.594925, 28.402830, 62.871624, 6.207599, 10.977187, 140.118185, 38.021482, 2.445583, 15.757652, 144.199726, 121.599153, 55.232636, 73.786399, 121.834573, 106.048863, 143.963220, 10.315073, 2.873525, 143.693215, 0.077255, 2.888916, 166.578026, 53.158957, 183.657952, 91.358723, 37.078060, 166.199038, 99.357444, 36.018952, 20.809309, 242.973458, 201.906333, 127.485587, 9.676234, 2.698976, 199.922227, 59.737252, 253.175778, 178.727645, 216.131900, 119.696909, 93.215769, 17.289307, 169.517536, 249.442656, 22.652870, 176.264044, 97.569446, 247.097197, 108.131033, 27.474306, 12.149712, 210.679436, 45.634882, 200.449895, 90.829484, 177.375657, 14.852111, 205.131305, 1.680987, 103.081910, 14.247005, 12.159764, 2.353534, 4.451818, 241.379163, 241.932085, 204.781872, 41.674882, 38.812080, 4.292527, 96.483125, 93.137926, 28.763113, 159668684.354251, 20.369134, 0.000000, 0.000000
0.072523, 0.650017, 0.198682, 58.847176, 10.466377, 1.018597, 96.097032, 147.612524, 28.402741, 61.936550, 7.303803, 10.828154, 140.083882, 37.519874, 2.445583, 21.299475, 144.337852, 121.599345, 16.603894, 73.784702, 121.831341, 58.787596, 138.908870, 10.315073, 2.873525, 143.693215, 0.217635, 2.646841, 165.874885, 53.199994, 183.538111, 90.794937, 1.983923, 166.199038, 99.357444, 36.018952, 20.626649, 242.973458, 154.480337, 127.632727, 7.876625, 1.670984, 199.454077, 59.734740, 253.175778, 157.632221, 216.131900, 119.702959, 74.245293, 17.289313, 169.517536, 249.442668, 39.309081, 142.349176, 95.851380, 247.057990, 102.134957, 27.468320, 12.175806, 172.044626, 19.605541, 200.488722, 90.761908, 177.477755, 11.713441, 183.432866, 2.560438, 49.409608, 14.555036, 1.333452, 2.445772, 4.451818, 241.339078, 252.137585, 204.781900, 5.857961, 38.635617, 4.294195, 96.537819, 93.207653, 28.763113, 192632695.495041, 19.370923, 0.000000, 0.000000
0.072523, 0.650017, 0.198682, 58.847176, 10.466377, 1.018597, 96.097032, 147.612551, 28.402741, 61.713691, 6.561151, 10.828154, 140.083882, 37.520147, 2.445583, 21.299475, 144.337852, 121.599345, 16.603886, 73.367999, 112.456677, 58.787596, 138.908870, 10.315073, 2.873525, 143.754020, 0.217635, 2.646841, 166.581692, 53.198125, 183.538111, 74.506737, 1.983923, 166.199038, 99.357444, 36.018952, 20.626649, 242.973458, 154.191941, 127.626977, 7.740789, 1.673190, 202.777407, 59.737252, 253.175778, 157.632221, 216.131900, 119.708290, 73.595735, 17.289313, 169.517536, 249.442668, 39.309081, 142.349176, 98.860746, 247.057990, 102.134957, 27.468320, 12.175806, 172.044626, 19.210009, 200.488722, 90.761908, 177.478254, 11.702004, 183.432866, 2.560438, 48.306290, 14.555037, 1.874027, 2.446645, 4.451818, 241.338739, 252.132581, 204.781900, 5.857961, 38.642494, 4.133986, 96.537819, 93.207653, 28.763113, 255168733.913807, 19.341325, 0.000000, 0.000000
0.072523, 0.650017, 0.198682, 58.847176, 10.466377, 1.018597, 96.097032, 147.614727, 28.402741, 61.713691, 6.561151, 10.828154, 140.083882, 37.520145, 2.445583, 21.299475, 144.337852, 121.599345, 16.603884, 73.376001, 136.401047, 58.787596, 138.908870, 10.315073, 2.873525, 143.693215, 0.217635, 2.646841, 166.578024, 53.198125, 183.538111, 73.565491, 3.677140, 166.199038, 99.357444, 36.018952, 20.626649, 242.973458, 154.191941, 128.267334, 7.901091, 1.671850, 202.777407, 59.737252, 253.175778, 157.632221, 216.131900, 119.705485, 74.245293, 17.289313, 169.517536, 249.442668, 39.309081, 142.349176, 98.860746, 247.057990, 102.134957, 27.468320, 12.175806, 172.044626, 45.634882, 200.488722, 90.761907, 177.527374, 11.702217, 183.432866, 2.560438, 49.462500, 14.555061, 1.872455, 2.445740, 4.451818, 241.338733, 252.541187, 204.781900, 5.857961, 38.813581, 15.619551, 96.537819, 93.207653, 28.763113, 162580498.201440, 19.400944, 0.000000, 0.000000
0.072661, 0.638528, 0.373554, 58.163401, 10.607872, 1.053743, 96.412692, 147.695652, 28.402741, 61.936532, 6.220415, 27.608153, 140.083882, 38.021482, 2.445583, 21.299475, 144.204768, 121.599347, 13.125994, 73.785696, 121.834661, 84.217135, 143.963220, 10.315073, 2.873525, 143.693215, 0.047091, 2.845668, 166.578024, 53.158937, 183.506359, 91.358723, 37.078060, 166.199038, 99.357444, 36.018952, 20.809309, 242.973458, 180.240948, 127.483559, 9.676234, 1.796490, 199.407755, 59.737252, 253.175778, 178.727645, 216.131900, 119.703655, 92.265441, 17.572710, 169.517536, 249.442638, 22.652545, 142.665227, 98.860746, 247.057990, 104.280766, 27.481045, 12.175807, 178.381461, 45.634882, 200.449895, 90.829484, 177.375644, 14.876185, 183.432866, 2.560461, 102.154035, 14.554790, 12.159764, 2.445320, 4.451818, 241.379327, 241.931781, 204.781900, 5.866178, 38.812080, 4.324350, 96.842934, 93.125792, 22.194388, 161035262.030511, 20.204054, 0.000000, 0.000000
0.072523, 0.650017, 0.198682, 54.971660, 10.466377, 1.018597, 88.983542, 147.614727, 28.402741, 88.230711, 6.561151, 10.828154, 140.083882, 37.520147, 2.445583, 21.299475, 144.337852, 121.599345, 16.603769, 71.729735, 123.713051, 58.787596, 138.908870, 10.315073, 2.873525, 143.693215, 0.217635, 2.646841, 177.230000, 53.198719, 183.538111, 91.144720, 3.677140, 166.199038, 99.357444, 36.018952, 20.626649, 242.973458, 154.191941, 127.490365, 7.901091, 1.672993, 202.777407, 59.737252, 253.175778, 157.632221, 216.131900, 119.748075, 74.245293, 17.289313, 169.517536, 249.442668, 39.309081, 142.349176, 98.860746, 247.057990, 102.134957, 27.468320, 12.175806, 172.044626, 20.096787, 200.488722, 90.761908, 177.486266, 11.702133, 183.432866, 2.560438, 49.461894, 14.555061, 1.874015, 2.294575, 4.451818, 241.338733, 252.541187, 204.781900, 5.857961, 38.813581, 4.294195, 96.537819, 93.207653, 28.763113, 182200549.970993, 19.393000, 0.000000, 0.000000
89.689509, 19.058569, 82.476092, 60.180290, 1.751838, 253.601300, 239.951069, 228.397418, 61.030230, 223.882051, 58.909781, 126.738635, 80.521109, 33.970493, 1.335431, 75.926824, 231.241039, 161.047668, 71.160172, 93.784067, 168.291676, 139.932599, 197.069377, 213.811323, 213.393939, 150.665816, 157.610331, 93.707404, 77.150522, 66.570762, 186.474715, 174.294051, 115.350706, 71.326275, 4.623850, 251.408275, 45.651355, 213.342969, 86.913488, 228.244940, 172.780497, 164.972261, 11.454514, 49.619213, 80.295350, 219.039837, 224.682684, 119.301221, 83.043443, 112.417483, 4.393193, 250.535346, 54.241213, 142.638116, 65.181594, 52.441283, 175.680368, 131.324001, 167.915249, 238.569626, 221.215489, 97.052107, 210.718013, 6.469809, 21.264237, 197.782504, 18.847002, 195.723310, 63.967524, 246.956586, 28.870115, 201.707499, 68.188249, 120.937709, 101.742572, 75.955515, 154.653813, 199.981842, 156.012839, 172.020589, 123.094341, 157470870.963451, 65.564394, 0.000000, 0.000000
0.072523, 0.652899, 0.206328, 54.926718, 10.466377, 0.976536, 92.335388, 147.612525, 28.402741, 61.910531, 6.561151, 10.829849, 140.083882, 38.036930, 2.445583, 15.721229, 144.340665, 117.639495, 16.603893, 73.480542, 121.834573, 58.787576, 138.908870, 10.315073, 2.873525, 143.693215, 0.217635, 2.646841, 166.574580, 53.158309, 183.470297, 91.135226, 2.041351, 166.199038, 99.357444, 36.018952, 20.617657, 242.973458, 154.201884, 127.640476, 7.876625, 1.670990, 199.911756, 59.737252, 253.175778, 157.632221, 216.131900, 119.702959, 74.246518, 17.289313, 169.517536, 249.442668, 39.309081, 142.349176, 96.031654, 247.057990, 102.228724, 27.468461, 12.175806, 172.044626, 19.216325, 200.488722, 90.770267, 177.528106, 15.261891, 205.100758, 2.560438, 49.461894, 14.566212, 1.334286, 2.293098, 4.451818, 241.377233, 252.561042, 204.781900, 5.857961, 38.635610, 4.294195, 96.537819, 93.207653, 28.763113, 255327977.690031, 19.356937, 0.000000, 0.000000
0.021605, 0.650017, 0.373554, 58.848765, 10.465480, 0.980281, 96.424378, 147.611115, 28.402741, 62.871624, 6.540483, 10.825487, 140.558680, 37.511851, 2.445583, 15.757652, 144.337852, 121.599345, 55.871327, 73.483618, 121.434537, 96.432528, 138.715220, 10.315073, 2.873525, 143.693215, 3.727829, 2.874596, 166.574780, 52.827635, 181.648037, 91.353051, 37.078060, 166.199038, 99.357444, 35.979513, 20.797978, 242.973458, 154.472959, 128.224563, 7.876699, 3.151485, 202.740553, 59.737252, 247.712884, 178.727645, 237.739563, 119.776581, 74.245293, 17.289306, 169.517536, 249.442668, 39.309081, 142.349176, 63.354672, 247.056530, 102.192567, 27.321615, 12.175806, 172.044626, 45.625442, 200.488597, 90.463590, 177.477645, 3.058992, 183.432866, 16.083641, 134.725404, 0.525517, 12.159764, 6.220613, 4.451818, 231.281424, 242.208024, 204.781900, 5.857961, 38.815213, 4.294195, 96.537819, 93.137926, 28.763113, 171269752.162657, 20.445430, 0.000000, 0.000000
