mainFrameColor,78,2,0
jButton1,0,80,0
jButton2,0,109,0
jButton3,31,89,0
jButton4,0,0,21
jButton5,67,0,0
jButton6,0,122,39
jButton7,0,0,23
jButton8,0,46,17
jButton9,0,65,0
jButton10,0,62,0
jButton11,108,53,0
jButton12,129,25,73
jButton13,53,0,39
jButton14,0,69,0
jButton15,84,0,0
jButton16,0,0,0
jButton17,43,83,53
jButton18,0,0,0
jTextField1,0,0,0
jTextField1TextColor,74,74,74
jLabel1,0,51,98
jPanel1,0,62,0
jPanel2,59,6,0
jPanel3,0,114,0
jPanel4,0,104,0
jPanel5,0,65,55
currentFitness,9.509421998280835E7
