mainFrameColor,175,236,177
jButton1,44,2,49
jButton2,108,119,201
jButton3,128,31,216
jButton4,150,15,201
jButton5,111,234,197
jButton6,216,92,18
jButton7,211,233,220
jButton8,13,234,88
jButton9,149,222,17
jButton10,28,174,0
jButton11,104,201,112
jButton12,207,179,181
jButton13,115,36,227
jButton14,24,79,142
jButton15,93,168,0
jButton16,50,0,191
jButton17,97,157,229
jButton18,219,167,217
jTextField1,176,25,121
jTextField1TextColor,0,0,97
jLabel1,83,0,219
jPanel1,92,190,0
jPanel2,211,136,84
jPanel3,59,109,160
jPanel4,7,12,194
jPanel5,52,181,15
currentFitness,7.35810397902915E8
