mainFrameColor,0,0,0
jButton1,141,144,73
jButton2,93,61,103
jButton3,50,0,89
jButton4,88,0,84
jButton5,7,0,0
jButton6,0,84,132
jButton7,114,60,153
jButton8,118,52,0
jButton9,0,125,134
jButton10,35,44,32
jButton11,75,0,0
jButton12,31,39,100
jButton13,64,12,0
jButton14,77,75,11
jButton15,0,3,37
jButton16,0,0,0
jButton17,49,0,101
jButton18,0,135,0
jTextField1,40,147,68
jTextField1TextColor,120,33,33
jLabel1,100,0,148
jPanel1,33,0,77
jPanel2,0,31,151
jPanel3,0,0,0
jPanel4,0,16,81
jPanel5,1,155,153
currentFitness,4.052989404949686E7
