mainFrameColor,166,99,126
jButton1,128,0,130
jButton2,106,176,92
jButton3,106,162,0
jButton4,17,119,103
jButton5,0,31,173
jButton6,27,197,119
jButton7,0,41,170
jButton8,91,0,133
jButton9,66,15,109
jButton10,1,35,35
jButton11,173,32,72
jButton12,12,167,0
jButton13,114,164,0
jButton14,0,8,89
jButton15,64,0,0
jButton16,0,0,0
jButton17,191,184,5
jButton18,132,100,29
jTextField1,0,0,0
jTextField1TextColor,74,74,74
jLabel1,60,51,0
jPanel1,182,192,0
jPanel2,77,0,90
jPanel3,0,0,160
jPanel4,71,57,132
jPanel5,35,0,81
currentFitness,5.0015518775981474E8
