mainFrameColor,115,161,23
jButton1,95,174,82
jButton2,0,0,86
jButton3,78,105,59
jButton4,94,65,132
jButton5,127,187,52
jButton6,95,0,153
jButton7,176,59,0
jButton8,58,16,29
jButton9,0,122,80
jButton10,126,0,36
jButton11,0,0,186
jButton12,0,0,0
jButton13,0,0,185
jButton14,46,20,48
jButton15,0,179,51
jButton16,187,56,61
jButton17,0,0,0
jButton18,187,158,0
jTextField1,0,0,0
jTextField1TextColor,74,74,74
jLabel1,81,51,146
jPanel1,0,6,144
jPanel2,170,0,140
jPanel3,141,67,12
jPanel4,0,94,119
jPanel5,0,0,107
currentFitness,3.43393423699318E8
