mainFrameColor,0,0,0
jButton1,0,0,145
jButton2,0,0,0
jButton3,0,81,127
jButton4,0,46,0
jButton5,2,24,46
jButton6,94,0,67
jButton7,117,74,0
jButton8,0,0,118
jButton9,0,0,5
jButton10,158,133,98
jButton11,139,0,0
jButton12,117,0,0
jButton13,46,67,0
jButton14,18,77,68
jButton15,44,0,95
jButton16,38,143,49
jButton17,135,97,0
jButton18,152,0,89
jTextField1,0,0,0
jTextField1TextColor,74,74,74
jLabel1,0,92,137
jPanel1,51,15,123
jPanel2,73,87,0
jPanel3,95,0,40
jPanel4,30,0,0
jPanel5,125,0,0
currentFitness,3.786744009354544E7
